English,Turkish
"Allows title holders to block child settlement influence on claim stakes from this settlements. This allows creation of 'federal land' where town laws do not apply, for example.",
whitelistdemographic,
whitelistdem,
Force a given citizen to always be a member of a given demographic even if they dont match the conditions.,
makeabandoned,
Force a given citizen to be in the abandoned demographic (self if none passed).,
makeactive,
Force a given citizen to be in the active demographic (self if none passed).,
The owner to assign the property. Leave blank to remove the owner and unclaim the property.,
Change the owners of a set of property. May only target deeds within jurisdication.,
Send a notice in the world news panel upon grant.,
"Change the reputation for a user, given from the settlement issuing the law (Settlements have a limit of reputation they can give, shown in ecopedia settings).",
The settlement registering the custom stat we're looking for.,
Display Result To Citizen,
"If set, the stat recording will appear in an infobox displayed briefly on the screen when triggered by a citizen.",
Record a custom stat of your choosing. Will be stored under the settlement that runs this law's stat folder.,
Pay From Government Account,
Recipients,
The account to send the funds from. Must specify a government account in the same jurisdiction.,
The citizens that will be receiving the money.,
Targets,
Pay Into Government Account,
The citizens that will be getting taxed.,
The bank account where the tax will be placed. Must specify a government account in the same jurisdiction.,
Holdings of this bank account will be used to perform the transfer. May only take from bank accounts associated with the same settlement (or child) of the jurisdiction.,
Start Candidate Election,
The election process that conducts the poll.,
Display to client layered catch data.,
Count Of Last Reports To Save,
Monitor Stability,
Count of reports to be saved and exposed via api. Reports are generated each minute. 0 to not save any history.,
"Monitors the overall network stability, making all clients send RPC request once in 10 seconds to measure response time. Could be expensive.",
Faith Reset Value,
"If false, the paramters for giving stakes and claims below will be ignored if settlements are enabled.  If true, you will get claims and stakes even on level-up even when settlements are enabled.",
Give Stakes And Claims Even When Settlements Are Enabled,
"How many claim stakes, if any, are granted to a player upon level-up.",
"How many claim papers, if any, are granted to a player upon level-up.",
Government Transfer,
Not First Time,
Lowest Settlement,
Highest Settlement,
makeAllActive,
raidus,
demo,
Toggle Lights,
The paint is still fresh! wait a moment before painting again.,
Reference captured! Go to the Easel to start painting,
Camera mode closed. You moved too far from the easel,
Nothing to catch around {0}.,
{0} caught {1} of {2}.,
{0} trying to catch at {1}:,
Spawns Housing industrial items,
Spawns Housing cultural items,
Spawns Housing seating items,
Spawns Housing main room items,
{0}: Failed to build a valid route in test {1} (indexing starts at 0) from {2} to {3}. This might be good or bad depending on whether you expect {4} to be able to complete this test.,
{0}: Failed to build a valid route from {1} to {2}.,
Species with name {0} not found.,
Can't spawn an animal at position {0}.,
Destroied {0} rubble objects in world.,
Give All '{0}',
Get into a vehicle before calling this command.,
Spawns animals and sets target positions for them to test animal movement. Requires special testing area to be present.,
"Spawns an animal and makes it run between predefined points, interrupting it's path with a new one each time. Requires special testing area to be present.",
"Spawns an animal and makes it run between two points, following a path that causes it to cross all world borders. Requires special testing area to be present.",
Spawns special area for testing animal movement. This command is not fully implemented yet.,
Total Culture: {0},
{0} generating influence:,
No properties providing influence in this settlement.,
Base influence: +{0},
{0} for {1} at {2},
Total: +{0} for {1} at {2},
The first requirement to annex a settlement is to surround it with {0}.,
surrounding influence must exceed {0} of the target's borders.,
"{0} currently has {1} of influence surrounding {2}'s influence, out of a possible {3}, yielding {4}.",
"Note: Having more than the minimum influence surrounding the neighbor's influence will allow more culture to count towards annexation. When {0} of influence is surrounded, culture will count at {1}.",
"Once a settlement has enough surronding influence of a target it wants to annex, it must then exceed its culture by a given amount.  The amount of culture that is counted towards annexing depends on {0} the target is.",
"That culture value must match or exceed the target {0}'s culture ({1}) by {2} and at least {3} absolute (whichever is higher). In this case, that value is {4}.",
{0} is {1} easier to annex because of {2}.,
"{0}'s weighted value of {1} {2} more than {3}, so {4} {5} meeting cultural requirements to annex.",
"Target has an enabled, unfounded {0} it's a member of, increasing the difficulty to annex by {1}.",
"{0} already has {1} citizens, increasing difficulty by an additional  {2}.",
"{0} already has {1} child settlements, increasing difficulty by an additional {2}.",
influenced plots,
Unfounded Parent Difficulty Boost:,
{0} Must have {1} of the target's {2} citizen population (current:{3} needed:{4}).,
abandoned deed,
Transfer {0} {1} from {2} to into {3} {4},
{0} legal transfer,
{0} transferred {1} from {2} to {3}.,{0} kişisi {1} birimini {2} kişisinden {3} kişisine aktardı.
Tax {0} {1} {2} into {3} {4},
{0} Tax,
{0} {1} you {2},
"{0} attempted to {1} you {2}, remaining {3} was {4} instead.",
"{0} attempted to {1} you {2}, none was available.",
{0} attempted to tax you but had no jurisdiction to do so.,
paid,
Pay {0} {1} {2} from {3} {4},
{0} Payment,
Executive Action in {0} by {1},
Invalid source account: {0},
{0} isn't a government account and may not receive tax revenue.,
{0} is not associated with a settlement and cannot be the destination of tax revenue.,
{0} is associated with {1} but must be associated with {2} or a parent to receive tax from this source.,
past 24 hours,
You are not authorized to access to: {0},
Error while starting face tracking: process cannot be started.,
Occupancy Multipliers:,
A citizen may only grant a single target up to {0} reputation per day.,
Mountable,
Large Door,
Minable Rubble,
Sweet Jerky,
Refine Heart Of Palm,
Geology Research Paper Modern Glass,
Dry Meat,
Dry Fish,
Charcoal Steel,Kömür Metali
Preserved Food,
Docks Ramps Corner Inverted,
Docks Pillar Beam X Intersection,
Docks Pillar Beam T Intersection,
Docks Pillar Beam Corner Intersection,
Docks Fence T Intersection,
Docks Fence Solo Block,
Docks Fence Middle Section,
Docks Fence Intersection,
Docks Fence End Double,
Docks Fence End Cap,
Docks Fence Corner,
{0} details,
You {0} a citizen of this settlement.,
Online Citizens: {0},
Parent Settlement:,
Children Settlements:,
Right click to view the picture,
Click to open election in browser.,
Click to send a private message.,
Click to open settings window.,
Click to view in the skill window.,
Items for Sale,
Items Wanted,
Other Influencing Settlements:,
Base Influence Radius From Foundation:,
Cultural Influence Radius:,
Total Influence:,
Associated Settlement: {0},
Citizens with Achievement,
Achieved on {0}:,
Not yet achieved.,
Progress: {0} / {1},
Processing {0},
