Context,English,French
,Seeds Layer,Couche de graines
,Bad format.,Mauvais format.
,The parameter type {0} is not valid,Le type de paramètre {0} n'est pas valide
,A large modern generator consuming liquid fuel to generate high volumes of electricity.,Un imposant générateur électrique moderne consommant du carburant liquide pour produire de grandes quantités d'électricité.
,An interactive stand allowing paintings to be created using art supplies.,Un support interactif permettant de créer des peintures en utilisant des matérriels d'art.
,Weave Linen Fabric,Tissu en lin à tisser
,Weave Linen Canvas,Tisser une toile en lin
,Weave Cotton Canvas,Tisser une toile en coton
,Rice Mortar,Mortier de riz
,Cottonseed Oil,Huile de coton
,Cotton Canvas,Toile en coton
,Compost Spoiled Food,Composter la nourriture avariée
,Basic Upgrade that greatly increases efficiency when crafting Milling recipes.,Amélioration basique avec une efficacité considérablement accrue pour les recettes de Mouture.
,Basic Upgrade that greatly increases efficiency when crafting Gathering recipes.,Amélioration basique avec une efficacité considérablement accrue pour les recettes de Récolte.
,A collection of paint variations used for art supplies.,Une collection de peintures diverses utilisée pour le nécessaire d'art.
,A bag of crushed flower petals.,Un sachet de pétales de fleurs réduits en poudre.
,"A canvas used for painting on, made by either cotton or linen.","Une toile utilisée pour peindre dessus, faite de coton ou de lin."
,A set of art supplies that ,Un ensemble de matériels d'art
,Placeholder Description.,Description de l'espace réservé.
,Petals,Pétales
,An oil primarily used for woodworking and paint supplies but can surprisingly also be drizzled on a salad.,"Une huile principalement utilisée pour le travail du bois et les matériéls de peinture, mais étonnamment qui peut aussi être versé sur une salade."
,Direct Influencing Settlement:,Directement influencée par la colonie :
,Other Influencing settlements:,Autres colonies influentes :
,{0} can't be taxed because they aren't citizens of {1}.,{0} ne peut pas être taxé car ils ne sont pas citoyens de {1}.
,{0} isn't a government account of {1} or held by any of its citizens.,{0} n'est pas un compte gouvernemental de {1} ni détenu par l'un de ses citoyens.
,Ignored: {0} because they weren't influenced by {1}.,Ignoré : {0} car ils n'ont pas été influencés par {1}.
,"These deeds were ignored: {0}, they were already owned by {1}.","Ces titres de propriétés ont été ignorés : {0}, ils étaient déjà détenus par {1}."
,"{0}, {1} changed to owner {2}","{0}, {1} a changé de propriétaire pour {2}"
,"{0}, {1} changed to unowned.","{0}, {1} a changé pour sans propriétaire."
,{0} is an owner of {1}.,{0} est un propriétaire de {1}.
,{0} has access to {1}.,{0} a accès à {1}.
,Location: {0}.,Emplacement : {0}.
,Enable hands tracking,Activer le suivi des mains
,The {0} {1} determines the cultural value of the artwork.,La {1} {0} détermine la valeur culturelle de l'œuvre d'art.
,Reputation from Citizens of foreign settlements counts more than from Citizens of {0},La réputation des citoyens des colonies étrangères compte plus que celle des citoyens de {0}
,"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less.","Note : Aucune colonie appliquée pour le moment. Gardez à l'esprit que cette culture sera réduite lorsqu'elle sera placée dans une colonie, avec une diminution de {0} lorsque les citoyens de cette colonie sont pris en compte pour la réputation."
,An artwork's {0} value is determined by its reputation and the artist's reputation.,La valeur {0} d'une œuvre d'art est déterminée par sa réputation et la réputation de l'artiste.
,"Reputation from the settlement that the artwork is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value, and trading artwork can yield net positive culture to two settlements.","La réputation de la colonie dans laquelle l'œuvre d'art est actuellement placée est réduite de {0}. Ainsi, l'opinion étrangère compte davantage pour la valeur culturelle, et le commerce d'œuvres d'art peut générer une culture nette positive pour deux colonies."
,Artist ({0}):,Artiste ({0}) :
,Picture:,Photographie :
,Artwork Value in {0},Valeur de l'œuvre d'art dans {0}
,Artwork Value Before Settlement Placement,Valeur de l'œuvre d'art avant l'établissement de la colonie
,{0} by {1} (current value: {2}),{0} par {1} (valeur actuelle : {2})
,{0}.{1} is wrong signature for interaction.,{0}.{1} est la mauvaise signature pour l'interaction.
,"For each additional object on the property with the same {0}, its value is diminished by {1}.","Pour chaque objet supplémentaire sur la propriété avec le même {0}, sa valeur est diminuée de {1}."
,"No other object with this {0} is on the property, so no penalty was applied.","Aucun autre objet avec ce {0} n'est sur la propriété, donc aucune pénalité n'a été appliquée."
,Penalty for {0} objects with the same {1}: {2},Pénalité pour {0} objets avec le même {1} : {2}
,Select bank account to pay from.,Sélectionnez le compte bancaire à partir duquel payer.
,Choose bank account to pay from.,Choisissez le compte bancaire à partir duquel payer.
,{0} must be a citizen of {1} which does not allow foreign ownership.,{0} doit être un citoyen de {1} qui n'autorise pas la propriété d'étranger.
,{0} must be part of {1} which does not allow foreign ownership.,{0} doit faire partie de {1} qui n'autorise pas la propriété étrangère.\n\n\n\n\n\n
,{0} must be within the influence of {1}.,{0} doit être dans l'influence de {1}.
,{0} generating culture:,{0} génère de la culture :
,"NOTE: The max number of cultural properties in a {0} is {1}, and the following properties were ignored:","NOTE : Le nombre maximum de propriétés culturelles dans une colonie type {0} est {1}, et les propriétés suivantes ont été ignorées :"
,"With {0} surrounded, {1} of {2}'s total Culture ({3}) counts toward annexation.","Comme {2} a entouré à {0}, alors {1} de la culture totale ({3}) compte pour l'annexion."
,Attempt interact on missing component type {0}.,Tentative d'interaction sur un type de composant manquant {0}.
,Attempt interact on missing method {0}.{1}.,Tentative d'interaction sur une méthode manquante {0}.{1}.
,This object is not for sale.,Cet objet n'est pas à vendre.
,This object is currently for sale.,Cet objet est actuellement en vente.
,Currency must be set before object can be purchased.,La monnaie doit être définie avant que l'objet puisse être acheté.
,Seller's account must be set before object can be purchased.,Le compte du vendeur doit être défini avant que l'objet puisse être acheté.
,You're already an owner on this object can can just take it. Are you sure you want to purchase it?,"Vous êtes déjà propriétaire de cet objet, vous pouvez simplement le prendre. Êtes-vous sûr de vouloir l'acheter ?"
,Buy this for {0}?,Acheter ceci pour {0} ?
,TODO: add title,À FAIRE : ajouter un titre
,TODO: add description,À FAIRE : ajouter une description
,Artwork has different culture values in different settlements.,Les œuvres d'art ont des valeurs culturelles différentes dans différentes colonies.
,Show culture yield when placed in Settlement:,Afficher le rendement de la culture lorsqu'il est placé dans la colonie :
,Delicious decomposed organic matter that can be used to fertilze crops. Compost is created overtime when organic material is left outdoors to decompose. This is accomplished in Eco by dropping an organic item on the ground and overtime it will become Compost.,"Délicieuse matière organique décomposée qui peut être utilisée pour fertiliser les cultures. Le compost est créé au fil du temps lorsque des matières organiques sont laissées à l'air libre pour se décomposer. Pour ce faire, dans Eco, dépose un item organique sur le sol, au fil du temps, il se transformera en compost."
,DOES CHEATER THINGS THROUGH CHEATING POWERS!,FAIT DES CHOSES DE TRICHEUR GRÂCE À DES POUVOIRS DE TRICHEUR !
,Increases the crafting speed of identical tables when they share a room by 20 percent.,Augmente de 20 % la vitesse de fabrication des établis identiques lorsqu'elles partagent une pièce.
,Increases the damage of related tools by 1.,Augmente de 1 les dégâts des outils associés.
,A combustible mineral which needs to be crushed into usable fuel.,Minéral combustible qui doit être concassé pour devenir un carburant utilisable.
,Coal that have been crushed into a usable size.,Charbon qui a été concassé en une taille utilisable.
,A fluffy round boll harvested from a cotton plant.,Une capsule ronde et duveteuse récoltée sur un plant de coton.
,A simple wet brick ready to be processed into a construction block.,Une simple brique humide prête à être transformée en bloc de construction.
,Wet Brick,Brique humide
,Wooden Mold,Moule en bois
,Allows the modification of the constitution.,Permet de modifier la constitution.
,Where papers are signed and foreign affairs are settled.(Allows the settlement to enable hostile takeovers),Là où les documents sont signés et les affaires étrangères réglées (Permet à la colonie de pouvoir faire des prises de contrôle hostiles)
,"Allows the creation of Law, which can perform many types of regulations, restrictions, taxations, incentives, and more.","Permet la création de lois, qui peuvent mettre en œuvre de nombreux types de réglementations, de restrictions, de taxations, d'incitations, etc."
,Calories To Plant,Calories pour planter
,Seeding Time,Temps de semence
,Seeds Count,Nombre de graines
,Seeding Area,Zone d'ensemencement
,Plant Age To Seed,Âge de la plante pour produire des graines
