English,Polish
Shipwright Skill Book,Szkutnictwo - Podręcznik
Shipwright Skill Scroll,Szkutnictwo - Certyfikat
Handheld Camera,
Iron Road Tool,
Tripod Camera,
Industrial Barge,
Large Canoe,Duży kajak
Medium Fishing Trawler,Średni kuter rybacki
Small Canoe,
Wooden Transport Ship,Drewniany statek transportowy
Copper Frame Landscape,
Copper Frame Portrait,
Copper Frame Square,
Copper Frame Tall,
Copper Frame Wide,
Cotton Streamer Stars,
Cotton Streamer Stripes,
Decorative Anchor,
Decorative Glass Buoy Blue,
Decorative Glass Buoy Green,
Decorative Glass Buoy Red,
Decorative Glass Buoy Violet,
Decorative Glass Buoy Yellow,
Decorative Hanging Buoy,
Decorative Life Preserver,
Decorative Ship Wheel,
Fish Rack,
Gold Frame Landscape,
Gold Frame Portrait,
Gold Frame Square,
Gold Frame Tall,
Gold Frame Wide,
Iron Frame Landscape,
Iron Frame Portrait,
Iron Frame Square,
Iron Frame Tall,
Iron Frame Wide,
Large Cotton Bunting Festive,Duża świąteczna girlanda z bawełny
Large Cotton Bunting Red,Duża czerwona girlanda z bawełny
Large Cotton Bunting Regal,Duża królewska girlanda z bawełny
Large Cotton Bunting Vibrant,Duża jasna girlanda z bawełny
Large Festive Paper Lantern,Duży świąteczny lampion z papieru
Large Nylon Bunting Green,Duża nylonowa girlanda w kolorze zielonym
Large Nylon Bunting Purple,Duża nylonowa girlanda w kolorze fioletowym
Large Nylon Bunting Yellow,Duża nylonowa girlanda w kolorze żółtym
Large Paper Lantern,Duży lampion z papieru
Lumber Warehouse Shelves,Drewniane półki magazynowe
Ornate Gold Frame Landscape,
Ornate Gold Frame Portrait,
Ornate Gold Frame Square,
Ornate Gold Frame Tall,
Ornate Gold Frame Wide,
Ornate Iron Frame Landscape,
Ornate Iron Frame Portrait,
Ornate Iron Frame Square,
Ornate Iron Frame Tall,
Ornate Iron Frame Wide,
Ornate Wooden Frame Landscape,
Ornate Wooden Frame Portrait,
Ornate Wooden Frame Square,
Ornate Wooden Frame Tall,
Ornate Wooden Frame Wide,
Paper Streamers,Papierowe Serpentyny
Plastic Buoy,
Small Cotton Bunting Festive,Mała świąteczna girlanda z bawełny
Small Cotton Bunting Red,Mała czerwona girlanda z bawełny
Small Cotton Bunting Regal,Mała królewska girlanda z bawełny
Small Cotton Bunting Vibrant,Mała jasna girlanda z bawełny
Small Festive Paper Lantern,Mały świąteczny lampion z papieru
Small Nylon Bunting Green,Mała nylonowa girlanda w kolorze zielonym
Small Nylon Bunting Purple,Mała nylonowa girlanda w kolorze fioletowym
Small Nylon Bunting Yellow,Mała nylonowa girlanda w kolorze żółtym
Small Paper Lantern,Mały lampion z papieru
Small Paper Machine,Mała maszyna do papieru
Small Shipyard,Mała stocznia
Steel Buoy,Stalowa boja
Steel Liquids Tank,
Steel Warehouse Shelves,
Wooden Frame Landscape,
Wooden Frame Portrait,
Wooden Frame Square,
Wooden Frame Tall,
Wooden Frame Wide,
Wooden Liquids Tank,
The probability that the plant will be spawned ignoring the group distance. It still respects clusters.,"Prawdopodobieństwo, że roślina zostanie odrodzona, ignorując odległość między grupami. Nadal respektuje skupiska."
Generation,
Distance between groups in order to be allowed to spawn.,
How many free spots groups have at the beginning.,
How many clusters of this plant will be in the world.,Ile skupisk tej rośliny będzie na świecie.
How close plants must be to the center of the group to be considered a part of the group.,"Jak blisko środka grupy muszą znajdować się rośliny, aby można je było uznać za część grupy."
How big clusters are. Outside of clusters no plants will be spawned.,Jak duże są skupiska. Poza skupiskami nie będą rozmnażane żadne rośliny.
Biomes where plant can be spawned. Empty means any biome.,"Biomy, w których można rozmnażać rośliny. Pusty oznacza dowolny biom."
"This setting defines how plants will be grouped when the world generates. It have two levels of grouping: clusters and groups. A cluster is a large area of the world where a particular type of plant exists, and it affects gameplay by limiting where specific plants can be spawned. Groups are primarily for visual purposes, so plants of the same species grow together with only a small distance between them.","To ustawienie określa sposób grupowania roślin podczas generowania świata. Ma dwa poziomy grupowania: klastry i grupy. Klaster to duży obszar świata, w którym występuje określony rodzaj roślin, i wpływa na rozgrywkę, ograniczając miejsca, w których można odradzać określone rośliny. Grupy służą przede wszystkim do celów wizualnych, więc rośliny tego samego gatunku rosną razem w niewielkiej odległości między nimi."
Visuals,
Enables the QuickJoin link on the Twitch extension for channel viewers.,
Only allows Twitch subscribers to join via the Twitch extension. Only works if TwitchJoinEnabled is enabled,
Shows initial spawn clusters of species,Pokazuje początkowe skupiska grup gatunków
Claim Stakes Granted Upon Level Up,
Claim Papers Granted Upon Level Up,
"How many claim stakes, if any, are granted to a player upon level-up. Note: when the Settlements feature is enabled in the config, this will be set to 0, and set to 1 when disabled.",
"How many claim papers, if any, are granted to a player upon level-up. Note: when the Settlements feature is enabled in the config, this will be set to 0, and set to 5 when disabled.",
Initial Spawn Selection,
"Should the settlement system be used, or should the old style be set? (Note: this system is not finished yet and is currently disabled). Note: changing this will automatically change the config enabling/disabling spawning of claim stakes and papers in the Balance Config.",
"When set, new users will treated to a delightful smorgasbord of initial spawn positions to choose from.  Will also show settements accepting new citizens. When false, will spawn at the default position without user prompting.",
givereputation,
Gives reputation to the given user from the given user (defaulting to self if not set).,
replenishgivablereputation,
replenishrep,
"Refills givable reputation for given Citizen, or all Citizens if left blank.",
letitfish,
fish,ryba
Fishing time!,Czas połowić!
spawnboat,
boat,
Spawns boat at player position,
ridevehicle,
ride,
Ride nearest vehicle,
"Open a display to edit any registrar object, or limit to a given type.",
editobj,
Combine Initial Spawn Points At Percent Of World Distance,Połącz początkowe punkty odradzania w procentach odległości świata
Display Only Settlements,
"When two spawn-points are within this distance (defined in 'percent of world width'), combine them.  Must be 0-1.","Kiedy dwa punkty odradzania znajdują się w tej odległości (określonej w „procentach szerokości świata”), połącz je. Musi być 0-1."
When true removes attractant points and only displays settlements. Note: If there are not settlements will display random points,
Treasury Bank Account,
Target To Revoke Citizenship,
addclaimstakes,
Add the specfied quantity of claim stakes to the specified settlement.,
addclaimpapers,
Add the specified quantity of claim papers to the specified settlement.,
gethomesteadback,
Remove your homestead from the world and get it back to you.,
Landclaims made available on the settlement marker at each level of settlement. Defined per settlement type.,
"If a player enters the 'Abandoned' demographic, they will instead make this many claims available to Settlements they're a citizen of.",
Claim stakes made available on the settlement marker at each level of settlement. Defined per settlement type.,
"If a player enters the 'Abandoned' demographic, they will instead make this many stakes available to Settlements they're a citizen of.",
"The number of plots that a claim stake allows you to claim by default, specified by settlement type. Defined per settlement type.",
"The number of plots that a settlement foundation allows you to claim by default, specified by settlement type. Defined per settlement type.",
The number of plots that a homestead claim stake allows you to claim by default.,
"If there are not enough citizens to support the claimed plots, a property crisis will happen after this amount of time. Defined per settlement type.",
"Names of the settlement types, 0 is the lowest level settlement.",
The homestead claim stake of someone attempting to become a citizen of a town that has not yet been founded must either be 1) not placed or 2) within this range.,
Minimum required ratio of homestead plots covered by settlement's influence to be able to join.,
"Determines how many subsettlements must be members of a settlement before it can be founded (first entry is ignored, since Homestead cant have sub-settlements). Defined per settlement type.",
"Determines how many subsettlements must be members of a settlement or else it goes invalid (first entry is ignored, since Homestead cant have sub-settlements). Defined per settlement type.",
Number of citizens that must be part of a roster before a settlement can be founded. Defined per settlement type.,
Number of citizens that must be part of a roster in order for a settlement to continue. Defined per settlement type.,
"Sum of culture from all children settlements required to form a new one. Defined per settlement type, starting with country.",
"Sum of culture from all children settlements required to continue a parent settlement. Defined per settlement type, starting with country."")].",
Minimum culture values of the foundation deed. Defined per settlement type.,
