English,BrazilianPortuguese
You can map your expressions onto the avatar face using your webcam.\r\nTurn the feature on/off by clicking on the webcam icon.,
Calibration complete!\r\nYou can try it out and proceed with customizing your avatar,
Calibration failed.,
"Cannot start facetracking service, aborting...",
{0} isn't eligible anymore to be part of your settlement.,
"{0} doesn't allow child settlements to secede thus upon leaving {1}, {2} became a direct child of {3}.",
{0} doesn't allow foreign ownership thus you cannot claim land under its influence unless you're a citizen (and currently {1} accepting new citizens).,
{0} parent {1} is preventing it from joining other settlements that are out of its jurisdiction.,
{0} doesn't allow settlements to secede from it.,
You need to manually leave your current settlement {0} because you have some properties that are under its influence.,
"When your homestead is placed, you can only leave citizenship of a settlement when you're applying for another parent/child settlement.",
{0} only allow citizens to directly own properties inside its sphere of influence and {1} is not a citizen.,
{0} isn't part of {1} which doesn't allow foreigners to own land inside its sphere of influence.,
DoF,
Calibration in progress...,
Calibration finished,
Groups:,
Groups,
Create a sorting for this marker by naming its group. Add slashes in between names to create subgroups.,
Background Color,
Climb,
Flax Species,
Creosote Flower,
Flaxseed Oil,
Trillium Flower,
Art Supplies,
Colored Powder,
Nylon Trawler Net,
Oil Paint,
Gathering Basic Upgrade,
Industrial Generator,
Allow Deep Ocean Building,
Allows or prevents building in deep ocean biome.,
For Sale,À venda
Sellers Account,
"The properties that their owners will be changed, which needs to be inside the current settlement.",
The citizens that will be receiving the money transfer.,
The deed that will be checked.,
Is Owner,
True if a given citizen is currently an owner on a given deed.,
Has Access,
True if a given citizen has access to a given deed.,
Deed At Location,
Get the deed that's at this location.,
Get a deed at a given location.,
Specific Property,
The deed that we want to interact with.,
A specific deed in the world.,
The citizen or group to invite to assign the property.,
The citizen will be invited to become a resident on the property at this location which must be within the influence of the current settlement.,
Action On Each Citizen In Settlement,
"The actions to run on each citizen inside this settlement, meeting the 'Citizen Conditions' set above.",
Seeds Layer,
Bad format.,
The parameter type {0} is not valid,
A large modern generator consuming liquid fuel to generate high volumes of electricity.,
An interactive stand allowing paintings to be created using art supplies.,
Weave Linen Fabric,
Weave Linen Canvas,
Weave Cotton Canvas,
Rice Mortar,
Cottonseed Oil,
Cotton Canvas,
Compost Spoiled Food,
Basic Upgrade that greatly increases efficiency when crafting Milling recipes.,
Basic Upgrade that greatly increases efficiency when crafting Gathering recipes.,
A collection of paint variations used for art supplies.,
A bag of crushed flower petals.,
"A canvas used for painting on, made by either cotton or linen.",
A set of art supplies that,
Placeholder Description.,
Petals,
An oil primarily used for woodworking and paint supplies but can surprisingly also be drizzled on a salad.,
Direct Influencing Settlement:,
Other Influencing settlements:,
{0} can't be taxed because they aren't citizens of {1}.,
{0} isn't a government account of {1} or held by any of its citizens.,
Ignored: {0} because they weren't influenced by {1}.,
"These deeds were ignored: {0}, they were already owned by {1}.",
"{0}, {1} changed to owner {2}",
"{0}, {1} changed to unowned.",
{0} is an owner of {1}.,
{0} has access to {1}.,
Location: {0}.,
Enable hands tracking,
The {0} {1} determines the cultural value of the artwork.,
Reputation from Citizens of foreign settlements counts more than from Citizens of {0},
"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less.",
An artwork's {0} value is determined by its reputation and the artist's reputation.,
"Reputation from the settlement that the artwork is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value, and trading artwork can yield net positive culture to two settlements.",
Artist ({0}):,
Picture:,
Artwork Value in {0},
Artwork Value Before Settlement Placement,
{0} by {1} (current value: {2}),
{0}.{1} is wrong signature for interaction.,
"For each additional object on the property with the same {0}, its value is diminished by {1}.",
"No other object with this {0} is on the property, so no penalty was applied.",
Penalty for {0} objects with the same {1}: {2},
Select bank account to pay from.,
Choose bank account to pay from.,
{0} must be a citizen of {1} which does not allow foreign ownership.,
{0} must be part of {1} which does not allow foreign ownership.,
{0} must be within the influence of {1}.,
{0} generating culture:,
"NOTE: The max number of cultural properties in a {0} is {1}, and the following properties were ignored:",
"With {0} surrounded, {1} of {2}'s total Culture ({3}) counts toward annexation.","Com {0} cercado, {1} do total de cultura de {2} ({3}) é usado para conquista."
Attempt interact on missing component type {0}.,
Attempt interact on missing method {0}.{1}.,
This object is not for sale.,
This object is currently for sale.,
Currency must be set before object can be purchased.,
Seller's account must be set before object can be purchased.,
You're already an owner on this object can can just take it. Are you sure you want to purchase it?,
Buy this for {0}?,
TODO: add title,TODO: adicionar título
TODO: add description,TODO: adicionar descrição
Artwork has different culture values in different settlements.,
Show culture yield when placed in Settlement:,
Delicious decomposed organic matter that can be used to fertilze crops. Compost is created overtime when organic material is left outdoors to decompose. This is accomplished in Eco by dropping an organic item on the ground and overtime it will become Compost.,
DOES CHEATER THINGS THROUGH CHEATING POWERS!,
Increases the crafting speed of identical tables when they share a room by 20 percent.,
Increases the damage of related tools by 1.,
A combustible mineral which needs to be crushed into usable fuel.,
Coal that have been crushed into a usable size.,
A fluffy round boll harvested from a cotton plant.,
A simple wet brick ready to be processed into a construction block.,
Wet Brick,
Wooden Mold,
Allows the modification of the constitution.,
Where papers are signed and foreign affairs are settled.(Allows the settlement to enable hostile takeovers),
"Allows the creation of Law, which can perform many types of regulations, restrictions, taxations, incentives, and more.",
Calories To Plant,
Seeding Time,
Seeds Count,
Seeding Area,
Plant Age To Seed,
How many calories must be expended to plant this seed..,
The time elapsed in hours between each attempt at spreading seeds to new tiles.,
The total count of new plants allowed to spread per attempt once the seeding timer has been reached.,
The distance check for how far a new plant is allowed to generate calculated from the existing parent plant.,
The age of a plant necessary to spread to new tiles in percent of total age calculated against its MaturityAgeDays.,
Percentage of habitability that gets spawned in the beginning.  Should be between 0 (no plants) and 1 (use all available capacity).,
Minimap Name,
Steer,
Paddle,
A 'Cultural' deed is a type of property that can contribute to the overall Culture value of the containing settlement.,
Allow Face Tracking On Server,
Max Allowed Texture Size In KB,
Max Allowed Texture Size In Bytes,
"Max allowed size for user uploaded textures in Kilobytes, default is 400 KB",
The influence gained from the settlement foundation will be multiplied by this value.,
"The influence gained from the different deeds that are created inside the settlement, will be multiplied by this value.",
