English,Arabic
Givable reputation per day per target: {1},
Givable reputation to single target total: {2} to {3},
Debt paid by {0},
Transfer completed successfully!{0}{1},
Direct Transfer from {0},
Paid,
Other Account,
Currency and price changes will only be applied for future recipients.,
You paid {0} for {1}.,
You were paid {0} for {1} by {2}.,
recipient,
Must set recurring transfer bank account.,
Started paying wages for {0} to {1}.,
Deposit for {0},
Deposit refund for {0},
"Pictures cannot be bought/sold in stores. Instead, you can put it on display and mark it for sale there.",
Trade completed!,
"{0} at {1}, {2} {3}",
", paid {0} tax.",
Missing demographic.,
{0} added to whitelist of {1}.,
Cannot perform: no settlement assigned.,
Title Manager,
"Cannot prevent {0} in the Basic Election, as this would prevent others from overthrowing the government.",
Cannot create child settlement inside {0} because you aren't a citizen.,
Applying Executive Action '{0}' by {1} in {2}:,
No results.,
Action to run once,
Twitch Subscriber {0},
{0} weighted Twitch votes total {1} of all votes: capping their weight to yield {2} of total vote as per Election Process.,
{0} voted in {1} for {2},
Cannot start election. You must be a member of {0} to start elections of type {1}.,
A new election draft has been started: '{0}',
One provision added: '{0}'.,
Can't start an election to replace this occupied position until {0} hours before the end of term ({1} from now).,
"You can add more provisions to it if you like, and start the election from the side-bar menu when you're ready for voting to begin.",
May only vote in elections associated with {0} here.,
May only enter elections associated with {0} here.,
May only withdraw elections associated with {0} here.,
May only remove positions associated with {0} here.,
May only enter resign from positions associated with {0} here.,
May only veto elections associated with {0} here.,
Twitch Subscriber Votes (weighted {0}):,
Twitch Non-Subscriber Votes (weighted {0}):,
"No jurisdiction selected, cannot use. Select a jurisdiction in ""Jurisdiction"" tab to fix this.",
Shotgun!,
Ride a vehicle as a passenger.,
Construction Yard,
Dig 1000 blocks with powered vehicles on the same server.,
You have entered a vehicle as a passenger.,
You have dug 1000 blocks with a vehicle.,
{0} used your currency exchange. The exchange is between {1} and {2},
You minted your first currency: {0}.,
Have another player use your currency exchange.,
Be forcibly removed from office.,
These claims must be used on claim stakes within the influence of,
Simulating {0} weather systems.,
Maximum weather systems this world supports: {0}.,
Weather systems:,
{0} at {1} with {2:0.####} seconds remaining.,
removed {0}. Remaining: {1}.,
added {0}. Remaining: {1}.,
Not authorized.,
You've earned {0} and {1}.,
"After the property crisis in {0} is resolved, {1} will contribute {2} claims and {3} stakes.",
{0} per active/abandoned citizen:,
{0}/{1} ({2} spawned),
Non-abandoned citizens:,
Abandoned citizens:,
{0} was recently annexed and cannot {1} for another {2}.,
{0} was disabled and returned to you. Reason: {1},
Removed {0},
Removed Homestead,
{0} add failed: {1}.,
"Can't add {0} as child, it's already a child of {1}.",
{0} has applied to become a member {1} in the {2} of {3} (which you are a leader of).,
{0} invited {1} (which you are a leader of) to join as a member {2}.,
The {0} {1} has been removed as an invited/applicant of the {2} {3}.,
{0} doesn't allow child settlements to secede,
"Upon leaving {0}, {1} became a direct child of {2}",
Removing the last sub-settlement will unplace this settlement. Proceed? Note: you can disable this in the foundation component.,
You can either use the {4} civic action to accept the application or {5} to rescind it.,
You can either use the {3} civic action to accept the invitation or {4} to decline it.,
"{0}'s influence only covers {1} of {2}'s influence, needs {3}.",
You're already a citizen of {0}. Either leave {1} first or create the new settlement inside its sphere of influence.,
You are not a citizen of any settlement.,
No settlement found at current pos.,
"Force-place a settlement at current position, either yourself or a test user.",
PlaceHomestead,
"The selected settlement is a {0}, but it must be a higher tier than {1}.",
Removed {0} from citizenship of {1}. Reason: '{2}'.,
All the invitations sent to {0} were cancelled.,
All {0} applications to join {1} were withdrawn.,
{0} neither invited nor applied to any other settlement.,
{0} was dissolved.,
Dissolve {0}.,
Remove {0} from citizenship of {1}. Reason: '{2}',
Cancel all {0} actions.,
dissolve,
secede,
"You are the last citizen to leave, this will destroy the settlement and give the foundation back to the creator. Are you sure you want to leave?",
Removing the last citizen will dissolve this town. Proceed?  Note: you can disable this in the foundation component.,
"{0} homestead has {1} of plots in the influence range of {2}, but it needs to be at least {3}.",
{0} should either move the Homestead plots closer or remove the homestead entirely to become a Citizen.,
{0} need to manually leave {1} because {2} owns some properties that are under its influence.,
{0} homestead is placed which means that joining another settlement that's not a parent/child of the current one is not allowed.,
"{0} cannot join as citizen, Homestead too far.",
Direct Citizen of {0},
Direct Citizens of {0},
"Note: Citizens of child settlements will automatically be Citizens here as well, but are not listed. This list is Direct Citizens only.",
You got back a {0} after {1} was deleted.,
{0}'s capitol was disabled too long and has been destoyed.,
Returned foundation after deletion of {0},
{0} at {1} had no deed found when initializing.,
{0} lost {1} because some claim papers were destroyed.,
Only claim papers may be placed here.,
Adding claim papers will increase the number of plots that can be claimed on this object,
"Can't claim plot, must be under the influence of {0} or have special permission from an Embassy Desk.",
Claim Tool set to claim on {0}.,
Right-click to change.,
Resident access not permitted (only owners allowed),
"This deed has 'Allow Property Changes While Renting' enabled, meaning the landlord can change property deed without evicting residents, do you accept?",
You paid a move in fee of {0}.,
You were paid {0} for a move-in fee to {1} by {2}.,
Turned {0} {1}.,
"The deed edit failed, the submitted map uses more plots than are allowed.",
Can't transfer a deed with a homestead on it.,
Remove the homestead claim stake and try again.,
The deed should always have at least {0} inside the parent settlement.,
Twitch Drops,
Can't place here.,
"Can't move here, this plot is not in {0}.",
Can't move here: This plot would not be under the influence of {0} if {1} weren't placed.,
"Can't move here, not under the influence of {0}.",
Not within {0}.,
Todays Date: {0},
{0} (Enabled: {1}): {2} - {3} (Days Until: {4}),
Current Holiday: {0},
{0} tax rates changed\n {1},
Storage inventory not found,
You're too hungry to use {0} for a moment longer!,
Selected file should not exceed {0},
The selected image will be used instead of the Picture item,
Could not return the Picture to the inventory,
Remember to select a file before printing.,
You must have paper in your inventory to print.,
"Can't print, the inventory is full.",
Copy added to your inventory,
This seat is occupied by {0}.,
{0} is missing module.,
{0} minted new currency,
Distributions to new citizens of {0}.,
Collect items for new citizens of {0},
Can't sell a homestead deed.,
{0} transferred fee to escrow for crafting {1},
{0} paid fee for crafting {1},
{0} refund fee for crafting {1},
{0} paid fee for {1},
Added {0} to {1}. No accessible storage to place remaining ingredients.,
"{0} is currently offline, achievement will be granted next time they come online",
Remove all achievements from the given user,
