English,SimplifedChinese
To print your chosen image or copy a picture you need to have Printing Supplies available in your inventory.,
Drop Picture Item here for the preview,
Claims Requirement:,
Claims Requirements,
"Annexing a target requires paying them Claim Papers from the source settlement.  Unlike resources, these 100% go to the foundation of the target without waste.  The cost is determined per-non-abandoned citizen in the target.\n\nIn the case of annexing a Homestead, this number will be increased by the number of Homestead Support Claim Papers that are on the stake.  This makes the support claims not only allow homesteads to claim more plots, but have more protection against annexation.",
"The resources shown must exist in storage attached to an Embassy Desk that is assigned to the Settlement's jurisdiction.  They must be accessible to the leader of the Settlement. The cost is determined per-non-abandoned citizen in the target.\n\nUpon annexation, a percent of these will be given to the other party, and the rest destroyed as the cost of the annexation.\n\nIf all citizens of a target are 'Abandoned', no resources are needed.",
Drop Picture Item here for the preview or browse a file,
Browse File\n,
World generation seed. 0 means 'assign random seed at generation time',
"Flood tool! Left click on the water to remove the top layer, or Right-click on a block to add a water layer.",
Paint tool! It paints with some developer features.,
Dev Paint Tool,
givepaint,
paint,
Give yourself mixed paint for predefined DyeColors,
givepaintrgb,
paintrgb,
Give yourself mixed paint with any rgb color,
"Mixed and ready to go, just need to apply and let dry.",
Focused Workflow: Painting,
Frugal Workspace: Painting,
Lavish Workspace: Painting,
Parallel Processing: Painting,
"Adobe, your basic primitive housing material.  Adobe will grant no experience.",
Adobe,
Far East Lumber,
WIP,
Garden Gravel,
Zen Garden,
A set of art supplies that allows one to capture the world.,
A necessary base for adding pigments and liquids together creating paint mixtures for all your creative needs.,
Base Paint,
Is it really blue?,
Blue Powder,
A black powder made by taking bits of charcoal and turning it into a fine powder through a mill.,
Charcoal Powder,
A simple flattened piece of stone used to repair damaged tools. It will wear down your tools quickly.,
Coarse Stone,
Assorted utensils for your everyday kitchen use.,
Cooking Utensils,
Pulverized copper ore left exposed to oxygen giving it a green patina.,
Copper Hydroxide,
A mixture of powders in set ranges to make an artifical base cyan color.,
Cyan Powder,
Dowels used for construction.,
Dowel,
A small glass fuse easily replacable to safeguard against electric accidents.,
Fuse,
Pulverized iron ore left out exposed turning it into what commonly is known as rust.,
Iron Oxide,
An extremely useful greasy material that helps machinery to run.,
Lubricant,
"Harvest it, dry it and process into a beautiful purple tone, it is almost like its made for a printer.",
Magenta Powder,
A simple round stone used for crushing other things.,
Mill Stone,
A high quality method of repairing your tools reducing waste.,
Polishing Paste,
A steel bolt used to hold together inventions.,
A steel rod with grooves allowing more finer sharpening of tools.,
Sharpening Steel,
An attachment for the steam tractor that allows for quick terraforming.,
Steam Tractor Scoop,
A steel spring used to create bouncing inventions.,
Steel Spring,
A polished piece of stone specifically cut to reduce damage of tools.,
Whetstone,
Petals taken through a drying and grinding stage leaving this fine powder.,
White Powder,
A basic gear for use in early wooden machinery.,
Wooden Gear,
Yellow Powder,
Basic Upgrade that greatly increases efficiency when crafting Painting recipes.,
Painting Upgrade,
A painter uses different combination of liquids and powders to create a practical application of colors.,
Painting,
Painting Skill Book,
Painting Skill Scroll,
Scientists can transforms the knowledge and understanding of the world into more practical uses.,
Scientist,
A mechanical paint tool with more advanced functionality over its crude wooden predecessor.,
Iron Paint Sprayer,
A modern painting tool using sophisticated electronic throttling for a continues experience.,
Modern Paint Sprayer,
A crude painting tool using a primitive pumping method allowing someone to paint single blocks.,
Wooden Paint Sprayer,
Small Canoe for hauling minimal loads.,
Egyptian Canoe,
A larger canoe for personal transport and medium sized loads.,
Norse Canoe,
A door made from crude wood pieces.,
Adobe Door,
A small beautiful ashlar stone fountain with flowing water that makes a great centerpiece.,
A helpful sign for advertisements along the road.,
Baker Sign,
Carpenter Sign,
A poster for the wall.,
Cart Blueprint Poster,
A plaque used for rating a property.,
Cast Iron Plaque,
Chandelier,
A copper frame useful for simple picture and art displays.,
Election Poster,
Engineer Sign,
Fancy Hewn Door,
Farmer Sign,
A fixed flying kite for your garden.,
FishKite,
Food Sign,
"Keeps animals away, but not in a scary way. (WIP)",
Friendly Scarecrow,
A simple pond filled with water for your decorative outdoor needs.,
Garden Pond,
A gold frame useful for simple picture and art displays.,
A large fountain with a spiral motif.,
Granite Spiral Fountain,
A large fountain with a multi-layered terracing display.,
Granite Terrace Fountain,
Hanging Electric Wall Lamp,
Refines food resources by crushing them in a more advanced machine than a stone mill.,
Industrial Mill,
A machine with the life long purpose of turning raw plastic into usable furniture and devices.,
An iron frame useful for simple picture and art displays.,
Kite,
Koi Pond,
Mason Sign,
Ornate Cast Iron Plaque,
An ornate gold frame useful for simple picture and art displays.,
An ornate iron frame useful for simple picture and art displays.,
Ornate Stone Plaque,
An ornate wooden frame useful for simple picture and art displays.,
Ornate Wood Plaque,
A mixing station for all manners of colors used in paint.,
Paint Mixing Workbench,
Periodic Table Poster,
A simple molded plastic furniture for outdoor use.,
Plastic Outdoor Bench,
Plastic Outdoor Chair,
Plastic Outdoor Table,
A simple planter box mounted on a wall or by a window.,
Plastic Window Planter,
Redwoods Poster,
Rustic Window Planter,
Keeps animals away. (WIP),
Scarecrow,
Shipwright Sign,
Stone Plaque,
Store Sign,
Tailor Sign,
A simple neutral tapestry.,
Tapestry,
A tapestry with a beautiful fish display.,
Tapestry Fish,
A tapestry with a beautiful sunset display.,
Tapestry Sunset,
Great for outdoor l,
Tiki Torch,
A chest but for the wall.,
